U116455074000152123883555     82649000      V. SOARES SILVA & CIA LTDA-ME??????????
P21645507400015289            FIO CINZA 141 SETE                                UNI   ATI0000000000000250
P21645507400015290            FIO CINZA 150 SETE                                UNI   ATI0000000000000250
P21645507400015291            FIO MARROM 136 SETE                               UNI   ATI0000000000000250
P21645507400015292            FIO VERDE LIMAO 099 SETE                          UNI   ATI0000000000000250
P21645507400015293            FIO VERDE 100 SETE                                UNI   ATI0000000000000250
P21645507400015294            FIO VERDE BANDEIRA 103 SETE                       UNI   ATI0000000000000250
P21645507400015295            FIO VERDE MILITAR 108 SETE                        UNI   ATI0000000000000250
P21645507400015297            FIO LARANJA CITRICO 158 SETE                      UNI   ATI0000000000000250
P21645507400015298            FIO AMARELO CITRICO 156 SETE                      UNI   ATI0000000000000250
P21645507400015299            LINHA MARROM ESCURO 136 SETE                      UNI   ATI0000000000000250
P216455074000152102           HELANCA AZUL ROYAL QUATRO K                       KG    ATI0000000000002350
P216455074000152103           HELANCA CINZA GRAFITE QUATRO K                    KG    ATI0000000000002350
P216455074000152104           HELANCA AMARELO OURO QUATRO K                     KG    ATI0000000000002350
P216455074000152105           HELANCA AZUL MARINHO QUATRO K                     KG    ATI0000000000002350
P216455074000152106           HELANCA AZUL TURQUESA QUATRO K                    KG    ATI0000000000002350
P216455074000152107           HELANCA BRANCO QUATRO K                           KG    ATI0000000000002350
P216455074000152108           HELANCA CINZA CLARO QUATRO K                      KG    ATI0000000000002350
P216455074000152109           HELANCA LARANJA QUATRO K                          KG    ATI0000000000002350
P216455074000152110           HELANCA MARROM QUATRO K                           KG    ATI0000000000002350
P216455074000152111           HELANCA PRETO QUATRO K                            KG    ATI0000000000002350
P216455074000152112           HELANCA VERDE BANDEIRA QUATRO K                   KG    ATI0000000000002350
P216455074000152113           HELANCA VERDE MUSGO QUATRO K                      KG    ATI0000000000002350
P216455074000152114           HELANCA VERMELHO QUATRO K                         KG    ATI0000000000002350
P216455074000152115           HELANCA VINHO QUATRO K                            KG    ATI0000000000002350
P216455074000152116           PP AMARELO CANARIO 4K                             KG    ATI0000000000002470
P216455074000152117           PP AMARELO OURO 4K                                KG    ATI0000000000002470
P216455074000152118           PP AZUL BB 4K                                     KG    ATI0000000000002470
P216455074000152119           PP AZUL CELESTE 4K                                KG    ATI0000000000002470
P216455074000152120           PP AZUL MARINHO 4K                                KG    ATI0000000000002470
P216455074000152121           PP AZUL ROYAL 4K                                  KG    ATI0000000000002470
P216455074000152122           PP BEGE 4K                                        KG    ATI0000000000002470
P216455074000152123           PP BRANCO 4K                                      KG    ATI0000000000002350
P216455074000152124           PP CINZA CLARO 4K                                 KG    ATI0000000000002470
P216455074000152125           PP CINZA GRAFITE 4K                               KG    ATI0000000000002470
P216455074000152126           PP LARANJA 4K                                     KG    ATI0000000000002470
P216455074000152127           PP LILAS 4K                                       KG    ATI0000000000002470
P216455074000152128           PP LILAS BB 4K                                    KG    ATI0000000000002470
P216455074000152129           PP ROSA PINK 4K                                   KG    ATI0000000000002470
P216455074000152130           PP PRETO 4K                                       KG    ATI0000000000002470
P216455074000152131           PP ROSA CHICLETE 4K                               KG    ATI0000000000002470
P216455074000152132           PP ROXO 4K                                        KG    ATI0000000000002470
P216455074000152134           PP VERDE BANDEIRA 4K                              KG    ATI0000000000002470
P216455074000152135           PP VERDE BB  4K                                   KG    ATI0000000000002470
P216455074000152136           PP VERDE LIMAO 4K                                 KG    ATI0000000000002470
P216455074000152137           PP VERMELHO 4K                                    KG    ATI0000000000002470
P216455074000152138           PV AMARELO BB 4K                                  KG    ATI0000000000002900
P216455074000152140           PV AMARELO OURO 4K                                KG    ATI0000000000002900
P216455074000152141           PV AZUL TURQUESA 4K                               KG    ATI0000000000002900
P216455074000152142           PV AZUL BB 4K                                     KG    ATI0000000000002900
P216455074000152143           PV AZUL CELESTE 4K                                KG    ATI0000000000002900
P216455074000152145           PV AZUL ROYAL 4K                                  KG    ATI0000000000002900
P216455074000152146           PV BRANCO 4K                                      KG    ATI0000000000002750
P216455074000152147           PV BRANCO ANTI PILING 4K                          KG    ATI0000000000002800
P216455074000152149           PV CINZA GRAFITE 4K                               KG    ATI0000000000002900
P216455074000152150           PV CINZA MESCLA 4K                                KG    ATI0000000000002900
P216455074000152151           PV LARANJA 4K                                     KG    ATI0000000000002900
P216455074000152152           PV LILAS BB 4K                                    KG    ATI0000000000002900
P216455074000152155           PV ROSA PINK 4K                                   KG    ATI0000000000002900
P216455074000152157           PV VERDE BANDEIRA 4K                              KG    ATI0000000000002900
P216455074000152158           PV VERDE BB 4K                                    KG    ATI0000000000002900
P216455074000152159           PV VERDE LIMAO 4K                                 KG    ATI0000000000002900
P216455074000152164           RIBANA DE PP AMARELO OURO 4K                      KG    ATI0000000000003990
P216455074000152165           RIBANA DE PP AZUL BB 4K                           KG    ATI0000000000003990
P216455074000152166           RIBANA DE PP AZUL ROYAL 4K                        KG    ATI0000000000003990
P216455074000152167           RIBANA DE PP BEGE                                 KG    ATI0000000000003990
P216455074000152168           RIBANA DE PP BRANCO                               KG    ATI0000000000003990
P216455074000152169           RIBANA DE PP AZUL CELESTE                         KG    ATI0000000000003990
P216455074000152170           RIBANA DE PP CINZA CLARO  4K                      KG    ATI0000000000003990
P216455074000152171           RIBANA DE PP CINZA GRAFITE 4K                     KG    ATI0000000000003990
P216455074000152172           RIBANA DE PP LARANJA 4K                           KG    ATI0000000000003990
