U110385908000114037201956     1255800       TORRES FOMENTO MERCANTIL COMERCIAL E EMPRESARIAL??????????
P210385908000114131           COPO DISCARTAVEL COPOBRAS 150ML                   PC????ATT1800000000000200
P210385908000114132           CREAN CRACKER VITARELLA C/20                      CX????ATF0000000000004100
P210385908000114547           CERVEJA BRAHMA CHOPP 1000 ML C/RETORNO            CX    ATF0000000000004500
P210385908000114134           CREME DENTAL COLGATE 50G                          CX????ATT1800000000001000
P210385908000114135           CREME DENTAL COLGATE 90G                          CX????ATT1800000000001650
P210385908000114136           CREME DENTAL SORRISO 50G                          CX????ATT1800000000001000
P210385908000114137           CREME DENTAL SORRISO 90G                          CX????ATT1800000000001480
P210385908000114138           DERBY AZUL                                        PC????ATF0000000000006950
P210385908000114139           DERBY PRATA                                       PC????ATF0000000000006950
P210385908000114140           DERBY VERMELHO                                    PC????ATF0000000000006950
P210385908000114586           PIRULITO AMORZITO MORANGO                         PC????ATT1800000000000170
P210385908000114587           PIRULITO AMORZITO TUTTI FRUTTI                    PC????ATT1800000000000170
P210385908000114588           BALA SANTA FÉ IORGUTE                             PC????ATT1800000000000350
P210385908000114589           BALA SANTA FÉ EUCALIPTO                           PC????ATT1800000000000350
P210385908000114590           BALA FREG CEREJA 584 G                            PC????ATT1800000000000350
P210385908000114153           DIPIRONA GOTAS                                    PC????ATT1800000000000720
P210385908000114157           DOMUS 1000ML                                      UNI???ATF0000000000000750
P210385908000114158           DREHER                                            UNI???ATF0000000000000820
P210385908000114597           EXCLUIDO                                          UNI???ATI0000000000002200
P210385908000114883           SAND HAV COLOR CAFE 41/42                         PC????ATT1800000000003750
P210385908000114160           DROPS MORANGO C/24                                UNI???ATT1800000000000240
P210385908000114161           DROPS PAQUERA C/24                                UNI???ATT1800000000000240
P210385908000114163           DUCREM AVELAN C/60                                CX????ATT1800000000000600
P210385908000114167           DUCREM CRISPIES                                   CX????ATT1800000000000600
P210385908000114169           ESPONJA LIMPONA C/60                              UNI???ATT1800000000001600
P210385908000114170           EXT.TOMATE TAMBAU SACHE                           UNI???ATT1800000000001800
P210385908000114172           FANTA 500ML C/6                                   CX????ATF0000000000001400
P210385908000114173           FANTA KS                                          GR????ATF0000000000003800
P210385908000114174           FANTA LARANJA 2000ML                              CX????ATF0000000000002900
P210385908000114175           FANTA LATA 350ML C/12                             CX????ATF0000000000002600
